# Time-averaged data for fix stress_ave
# TimeStep v_strain_z v_strain_x v_strain_y v_stress_z
6000 2.75e-05 -0.00260452 0.00489158 -12.9679
7000 7.75e-05 -0.001304 0.00604791 -28.2039
8000 0.0001275 -0.00358814 0.00773603 -25.0689
9000 0.0001775 -0.00229652 0.00785116 -1.53894
10000 0.0002275 -0.00511549 0.0110212 -13.729
11000 0.0002775 -0.00418529 0.00987547 -38.3286
12000 0.0003275 -0.00125529 0.00791121 -71.8974
13000 0.0003775 -0.00174202 0.00813513 -24.3958
14000 0.0004275 -0.00148782 0.00876581 9.86249
15000 0.0004775 -0.00179716 0.00469571 -54.959
16000 0.0005275 -0.00312562 0.00451754 -22.5063
17000 0.0005775 -0.00786066 0.0123499 -32.1702
18000 0.0006275 -0.00260433 0.0073242 -14.2303
19000 0.0006775 -0.00109453 0.00392327 -37.3009
20000 0.0007275 0.000635757 0.00507277 -19.2359
21000 0.0007775 -0.00190508 0.0042478 -33.5024
22000 0.0008275 -0.00368893 0.00426647 -21.12
23000 0.0008775 -0.00531294 0.009531 -4.91146
24000 0.0009275 0.00131699 0.00214264 3.53779
25000 0.0009775 -0.00205521 0.00763326 20.2094
26000 0.0010275 -0.0023871 0.00701698 -38.3839
27000 0.0010775 -0.0033878 0.00693974 -48.6499
28000 0.0011275 -0.00292221 0.0030409 -13.035
29000 0.0011775 -0.00624226 0.0109405 -55.1944
30000 0.0012275 -0.000399524 0.00393073 23.3306
31000 0.0012775 -0.00361117 0.00594627 -25.382
32000 0.0013275 -0.00321887 0.00891967 -46.3952
33000 0.0013775 -0.00357343 0.00790853 -80.8547
34000 0.0014275 -0.00371519 0.00667374 -12.3769
35000 0.0014775 -0.00169332 0.00232744 5.98219
36000 0.0015275 -0.00373767 0.00930285 -37.9627
37000 0.0015775 -0.00263056 0.004794 -70.4445
38000 0.0016275 -0.00322814 0.00785671 -16.9058
39000 0.0016775 -0.00297888 0.00630794 -17.2262
40000 0.0017275 -0.00693269 0.00918301 -29.1637
41000 0.0017775 -0.00597194 0.0115658 -21.5632
42000 0.0018275 -0.0025136 0.00748799 -38.839
43000 0.0018775 -0.00404157 0.0102582 -39.4823
44000 0.0019275 -0.0012716 0.00665521 -46.7528
45000 0.0019775 -0.0023538 0.00854647 -15.8944
46000 0.0020275 -0.00446794 0.00989111 -48.6033
47000 0.0020775 -0.00328691 0.00468561 -17.1175
48000 0.0021275 -0.00624711 0.00804937 -28.2512
49000 0.0021775 -0.00465702 0.0090541 -51.8755
50000 0.0022275 -0.00344547 0.00709422 -22.6025
51000 0.0022775 -0.00275598 0.0081146 -49.3826
52000 0.0023275 -0.00308439 0.00525123 -56.1625
53000 0.0023775 -0.00184429 0.0030307 -3.47713
54000 0.0024275 0.00116205 0.00283833 -10.4087
55000 0.0024775 -0.00694156 0.00869786 -16.228
56000 0.0025275 -0.00658204 0.00722658 -24.6858
57000 0.0025775 -0.00417974 0.0081063 -51.0471
58000 0.0026275 -0.00206658 0.00277919 -46.7852
59000 0.0026775 -0.003985 0.00656362 -5.10692
60000 0.0027275 -0.0026929 0.00666166 -35.207
61000 0.0027775 -0.00427984 0.00621937 -18.3613
62000 0.0028275 -0.00428759 0.00868333 -15.3731
63000 0.0028775 -0.00230542 0.00775856 0.954748
64000 0.0029275 -0.00233687 0.00414704 -24.6297
65000 0.0029775 -0.00344137 0.00672563 -20.4233
66000 0.0030275 -0.00310027 0.00471263 13.1293
67000 0.0030775 -0.000679795 0.00339001 -44.8198
68000 0.0031275 -0.00243092 0.00431977 0.92162
69000 0.0031775 -0.00602435 0.00703467 -42.8929
70000 0.0032275 -0.00421795 0.00669166 -21.3728
71000 0.0032775 -0.00390265 0.00539864 -70.9432
72000 0.0033275 -0.00235279 0.00596489 14.4091
73000 0.0033775 -0.00641081 0.00867741 -2.07544
74000 0.0034275 -0.0069836 0.00799126 -52.0143
75000 0.0034775 -0.00436514 0.00707076 -47.0053
76000 0.0035275 -0.00155526 0.00434319 33.8747
77000 0.0035775 -0.00571392 0.00750456 1.00556
78000 0.0036275 -0.00618209 0.00729171 -16.5929
79000 0.0036775 -0.00424229 0.00384813 -65.0151
80000 0.0037275 -0.00334129 0.00516565 -22.5771
81000 0.0037775 -0.00537204 0.00703138 -28.0409
82000 0.0038275 -0.00429724 0.00854955 -10.3483
83000 0.0038775 -0.00368812 0.00757891 -39.4728
84000 0.0039275 -0.00486758 0.00557192 20.435
85000 0.0039775 -0.00787798 0.00687866 -35.7893
86000 0.0040275 -0.00190042 0.00428846 -32.1492
87000 0.0040775 -0.00539597 0.00608692 -33.1148
88000 0.0041275 -0.00416316 0.00762407 -54.4101
89000 0.0041775 -0.00542992 0.00713609 -9.13608
90000 0.0042275 -0.00612524 0.00887233 -3.55402
91000 0.0042775 -0.0056668 0.00631524 -87.702
92000 0.0043275 -0.00267742 0.00654405 -31.0131
93000 0.0043775 -0.00680262 0.0051384 12.4721
94000 0.0044275 -0.00399231 0.00494541 -21.5596
95000 0.0044775 -0.00250443 0.00418536 -5.90288
96000 0.0045275 -0.0068549 0.00620007 -44.0821
97000 0.0045775 -0.00474488 0.00615543 -5.19033
98000 0.0046275 -0.00376435 0.00433035 28.8407
99000 0.0046775 -0.00120358 0.00328999 -78.1811
100000 0.0047275 -0.00745424 0.00594261 21.3255
101000 0.0047775 -0.00668079 0.00674129 -10.6883
102000 0.0048275 -0.00770226 0.00665057 -37.1843
103000 0.0048775 -0.0036709 0.00410383 5.6037
104000 0.0049275 -0.006198 0.00706971 -9.61532
105000 0.0049775 -0.00469883 0.00449046 15.587
106000 0.0050275 -0.00348481 0.00541397 -44.48
107000 0.0050775 -0.00673062 0.00782337 -42.5733
108000 0.0051275 -0.00589245 0.00507506 -34.3966
109000 0.0051775 -0.00389569 0.0050469 -31.2229
110000 0.0052275 -0.00503046 0.00558566 -60.0879
111000 0.0052775 -0.00353085 0.00628365 11.9058
112000 0.0053275 -0.00863357 0.00771586 4.6286
